trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",25,0,-264.60065636732986,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 5}",0
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-143.01121624625634,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",25,0,-61.080951840286176,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-114.46471684918211,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",20,0,-127.96502046536615,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",30,0,-154.54771080985975,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",20,0,-177.87789742514732,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,0,-45.38592832343919,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",25,1,-182.83789553853475,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 3}",1
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,14,-93.27978161722814,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",30,0,-159.84520753999382,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,10,-63.0804215385861,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",20,0,-169.15674754097344,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.8693582353988059}",20,0,-70.81354287880777,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-71.8012950282591,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.8521437889662113}",20,10,-39.75799823919751,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.8436648165963837}",25,0,-104.37547251146663,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.835270211411272}",35,0,-84.76431151958926,"{0: 25, 1: 0, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.8269591339433623}",25,0,-82.6176056781869,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,0,-121.95434338234874,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
21,False,"{'a': 0.3, 'e': 0.8105842459701871}",25,0,-156.8610371428285,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.3, 'e': 0.8025187979624785}",25,11,-82.03719214439514,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
23,False,"{'a': 0.3, 'e': 0.794533602503334}",25,0,-135.0123478620699,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.7866278610665535}",30,0,-77.49033438868028,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.7788007830714049}",20,0,-102.89504869090977,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.7710515858035663}",20,0,-64.86818443173921,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.7633794943368531}",20,6,-24.516051942768446,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.3, 'e': 0.7557837414557255}",30,0,-84.8170372876495,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.7482635675785653}",25,0,-114.58379150858609,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,0,-195.80423900992116,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.3, 'e': 0.7334469562242892}",30,0,-121.65350267498522,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
32,False,"{'a': 0.3, 'e': 0.7261490370736909}",25,0,-44.7439165754721,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.3, 'e': 0.7189237334319262}",25,0,-65.76920673522065,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.3, 'e': 0.7117703227626097}",30,0,-96.20767463871772,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.3, 'e': 0.7046880897187134}",35,0,-91.60815522975307,"{0: 25, 1: 3, 2: 3, 3: 4, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.697676326071031}",25,0,-223.40130753370738,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
37,False,"{'a': 0.3, 'e': 0.6907343306373547}",35,0,-38.16325740073952,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.6838614092123558}",20,0,-79.01661715544947,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.6770568744981647}",20,0,-103.2425299137761,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.3, 'e': 0.6703200460356393}",20,7,-31.722439976898865,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.3, 'e': 0.6636502501363194}",25,0,-40.33269491545135,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.6570468198150567}",25,0,-67.45392206764532,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.6505090947233165}",25,13,-7.916493174577376,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.6440364210831414}",20,0,-31.98215788049537,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.3, 'e': 0.6376281516217733}",25,8,-68.02440578787278,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.3, 'e': 0.631283645506926}",25,0,-64.78890142456353,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.6250022682827008}",20,9,-42.23994764343779,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,0,-59.319205949924594,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.3, 'e': 0.6126263941844161}",30,0,-113.62952293173939,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.3, 'e': 0.6065306597126334}",20,0,-34.60119217945088,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.6004955788122659}",20,10,6.762610380656137,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.5945205479701944}",25,0,-53.183698551549945,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.5886049696783552}",25,0,-60.23293286153098,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
54,False,"{'a': 0.3, 'e': 0.5827482523739896}",25,0,-117.44395567861507,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.3, 'e': 0.5769498103804866}",20,3,-8.959218082586558,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.5712090638488149}",20,0,14.078427983451515,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.3, 'e': 0.5655254386995371}",20,9,-35.067366211712354,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.3, 'e': 0.559898366565402}",30,0,-168.72250337832577,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
59,False,"{'a': 0.3, 'e': 0.5543272847345071}",20,6,-29.824366758504972,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,0,-17.671476697620836,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.5433508690744998}",25,2,-95.59709791863959,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.3, 'e': 0.5379444375946745}",20,0,-10.080163384637567,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.5325918010068972}",20,0,-110.10454070660265,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.5272924240430485}",20,0,6.6228050772252285,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.3, 'e': 0.522045776761016}",20,0,-58.45072370192777,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
