trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.46637882374463,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.92396298874925,"{0: 9, 1: 4, 2: 7, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.50686985704112,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.48414532439185,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,13,-43.26332953570574,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.97669158035156,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.59495724702361,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.43182676078097,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.71829035033545,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.16672737990018,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.52091613315116,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,8,-41.40607414090773,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.84131889033725,"{0: 14, 1: 1, 2: 2, 3: 4, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.54699154914886,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.90891059754289,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.43956052382279,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.90043312932391,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.2924755710915,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.14075546033365,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.10288256248228,"{0: 9, 1: 9, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.28515055763127,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.89625042370969,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.45108069131635,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-256.0988254043463,"{0: 10, 1: 1, 2: 8, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.3381450604071,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.51167782798373,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.1068316661404,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.61005836399283,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-203.59677516960303,"{0: 15, 1: 6, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.51640787790544,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
